STN_Test_Dice,RN_Test_Dice,Loss_Type,Features,Learning_Rate,Weight_Decay,Dropout,Only_Annotated,CE_Weight,FT_Weight
0.8090,0.7955,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.5,0.5
0.8089,0.7940,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.1,0.9
0.8087,0.0119,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.5,0.5
0.8078,0.0144,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.5,0.5
0.8075,0.8461,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.1,0.9
0.8067,0.0150,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.5,0.5
0.8060,0.8179,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.1,0.9
0.8059,0.0137,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.5,0.5
0.8057,0.8204,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.3,0.7
0.8057,0.7899,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.1,0.9
0.8056,0.0164,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.5,0.5
0.8056,0.8275,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.5,0.5
0.8055,0.7933,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.3,0.7
0.8053,0.0154,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.5,0.5
0.8050,0.8396,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.3,0.7
0.8044,0.8083,CEDice,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.3,0.7
0.8044,0.8169,FocalTversky,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.1,0.9
0.8036,0.8373,CEDice,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.1,0.9
0.8029,0.7965,FocalTversky,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.3,0.7
0.8028,0.8137,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.1,0.9
0.8017,0.7690,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.5,0.5
0.8017,0.0158,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.3,0.7
0.8011,0.0158,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.5,0.5
0.8005,0.7642,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.5,0.5
0.8002,0.8377,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.3,0.7
0.8000,0.8216,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.3,0.7
0.7992,0.8250,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.5,0.5
0.7974,0.7461,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.5,0.5
0.7973,0.7833,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.3,0.7
0.7973,0.0152,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.3,0.7
0.7971,0.0135,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.3,0.7
