Val_STN_Dice_2D,Val_RN_Dice_2D,Val_Loss,Test_STN_Dice_2D,Test_RN_Dice_2D,Test_Loss,STN_val_mean_dice,STN_val_std_dice,STN_val_mean_hd95,STN_val_std_hd95,STN_val_mean_precision,STN_val_std_precision,STN_val_mean_recall,STN_val_std_recall,STN_val_mean_iou,STN_val_std_iou,RN_val_mean_dice,RN_val_std_dice,RN_val_mean_hd95,RN_val_std_hd95,RN_val_mean_precision,RN_val_std_precision,RN_val_mean_recall,RN_val_std_recall,RN_val_mean_iou,RN_val_std_iou,STN_test_mean_dice,STN_test_std_dice,STN_test_mean_hd95,STN_test_std_hd95,STN_test_mean_precision,STN_test_std_precision,STN_test_mean_recall,STN_test_std_recall,STN_test_mean_iou,STN_test_std_iou,RN_test_mean_dice,RN_test_std_dice,RN_test_mean_hd95,RN_test_std_hd95,RN_test_mean_precision,RN_test_std_precision,RN_test_mean_recall,RN_test_std_recall,RN_test_mean_iou,RN_test_std_iou,Loss_Type,Features,Learning_Rate,Weight_Decay,Dropout,Only_Annotated,CE_Weight,FT_Weight
0.8052,0.0186,0.5158,0.8017,0.0158,0.5157,0.7999,0.0839,1.43,0.85,0.7782,0.1230,0.8559,0.1318,0.6747,0.1171,0.0171,0.0069,55.09,2.82,0.0086,0.0035,0.9978,0.0038,0.0086,0.0035,0.7982,0.0567,1.42,0.41,0.8179,0.0456,0.7847,0.0914,0.6677,0.0747,0.0172,0.0047,54.94,3.23,0.0087,0.0024,1.0000,0.0000,0.0087,0.0024,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.3,0.7
0.8025,0.0126,0.5179,0.8117,0.0117,0.5149,0.7994,0.0865,1.33,0.84,0.7894,0.1206,0.8458,0.1464,0.6745,0.1207,0.0118,0.0055,56.55,2.99,0.0059,0.0028,0.9980,0.0035,0.0059,0.0028,0.8160,0.0247,1.53,0.47,0.8466,0.0422,0.7922,0.0573,0.6899,0.0357,0.0127,0.0035,56.80,4.56,0.0064,0.0018,1.0000,0.0000,0.0064,0.0018,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.5,0.5
0.8021,0.7836,0.3221,0.8218,0.8417,0.2679,0.7972,0.0835,1.33,0.73,0.7764,0.1210,0.8532,0.1361,0.6708,0.1159,0.7787,0.0215,1.38,0.39,0.7877,0.1548,0.8244,0.1403,0.6380,0.0284,0.8250,0.0380,1.35,0.65,0.8442,0.0346,0.8115,0.0756,0.7039,0.0547,0.8407,0.0191,0.96,0.15,0.8861,0.0707,0.8066,0.0519,0.7256,0.0284,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.1,0.9
0.8015,0.0147,0.5181,0.8149,0.0131,0.5140,0.7961,0.0932,1.32,0.83,0.7789,0.1342,0.8571,0.1517,0.6712,0.1297,0.0138,0.0048,67.45,0.37,0.0070,0.0024,0.9996,0.0006,0.0070,0.0024,0.8163,0.0240,1.48,0.43,0.8391,0.0403,0.7992,0.0562,0.6903,0.0341,0.0136,0.0028,67.89,4.25,0.0069,0.0014,1.0000,0.0000,0.0069,0.0014,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.5,0.5
0.8013,0.0188,0.5118,0.7900,0.0172,0.5132,0.8004,0.0849,1.19,0.63,0.7981,0.0992,0.8320,0.1483,0.6756,0.1179,0.0182,0.0065,68.88,0.75,0.0092,0.0033,0.9991,0.0016,0.0092,0.0033,0.7895,0.0406,1.51,0.40,0.8374,0.0585,0.7533,0.0745,0.6540,0.0537,0.0180,0.0042,69.07,4.72,0.0091,0.0021,1.0000,0.0000,0.0091,0.0021,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.5,0.5
0.8000,0.0133,0.5186,0.7870,0.0120,0.5192,0.7960,0.0889,1.43,0.85,0.7888,0.1288,0.8450,0.1530,0.6702,0.1240,0.0125,0.0059,56.41,2.93,0.0063,0.0030,1.0000,0.0000,0.0063,0.0030,0.7872,0.0315,1.68,0.48,0.8389,0.0306,0.7466,0.0716,0.6502,0.0434,0.0130,0.0036,56.68,4.38,0.0065,0.0018,1.0000,0.0000,0.0065,0.0018,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.3,0.7
0.7999,0.0160,0.5181,0.8205,0.0142,0.5130,0.7923,0.0840,1.48,0.79,0.7694,0.1417,0.8594,0.1294,0.6640,0.1145,0.0151,0.0052,67.95,0.46,0.0076,0.0026,0.9994,0.0010,0.0076,0.0026,0.8173,0.0494,1.29,0.45,0.8257,0.0480,0.8151,0.0848,0.6939,0.0678,0.0148,0.0032,68.22,4.41,0.0075,0.0016,1.0000,0.0000,0.0075,0.0016,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.5,0.5
0.7998,0.0162,0.5350,0.8119,0.0140,0.5308,0.7959,0.0930,1.27,0.77,0.7904,0.1324,0.8402,0.1461,0.6710,0.1291,0.0150,0.0064,55.66,2.73,0.0076,0.0032,0.9989,0.0019,0.0076,0.0032,0.8069,0.0525,1.28,0.42,0.8532,0.0336,0.7749,0.1024,0.6794,0.0704,0.0152,0.0042,55.58,3.65,0.0077,0.0021,1.0000,0.0000,0.0077,0.0021,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.5,0.5
0.7994,0.7624,0.2740,0.8106,0.8121,0.2466,0.7867,0.0809,1.48,0.79,0.7163,0.1317,0.9074,0.0928,0.6554,0.1049,0.7169,0.1640,1.57,0.87,0.6552,0.2495,0.9047,0.0812,0.5823,0.1845,0.8099,0.0199,1.48,0.36,0.7468,0.0580,0.8931,0.0563,0.6810,0.0279,0.8152,0.0768,1.15,0.54,0.7502,0.1172,0.9032,0.0197,0.6952,0.1090,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.1,0.9
0.7994,0.0195,0.5118,0.8092,0.0163,0.5104,0.7959,0.0947,1.31,0.81,0.8043,0.1359,0.8315,0.1579,0.6713,0.1313,0.0179,0.0070,54.39,2.62,0.0091,0.0036,0.9987,0.0022,0.0091,0.0036,0.8110,0.0382,1.35,0.49,0.8421,0.0474,0.7918,0.0913,0.6838,0.0536,0.0178,0.0049,54.42,2.87,0.0090,0.0025,1.0000,0.0000,0.0090,0.0025,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.3,0.7
